admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+first+lang+main,#indicator+first+lang+main+pct,#indicator+second+lang+main,#indicator+second+lang+main+pct,#indicator+lang+pct+iso639-3_ukr,#indicator+lang+pct+iso639-3_rus,#indicator+lang+pct+iso639-3_bel,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_bul,#indicator+lang+pct+iso639-3_hun,#indicator+lang+pct+iso639-3_azj,#indicator+lang+pct+iso639-3_hyw,#indicator+lang+pct+iso639-3_kat,#indicator+ang+pct+iso639-3_gag,#indicator+lang+pct+iso639-3_crh,#indicator+lang+pct+iso639-3_tat,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_pol,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ukr,#indicator+first+lang+pct+iso639-3_rus,#indicator+first+lang+pct+iso639-3_bel,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_azj,#indicator+first+lang+pct+iso639-3_hyw,#indicator+first+lang+pct+iso639-3_kat,#indicator+first+lang+pct+iso639-3_bul,#indicator+first+ang+pct+iso639-3_gag,#indicator+first+lang+pct+iso639-3_crh,#indicator+first+lang+pct+iso639-3_tat,#indicator+first+lang+pct+iso639-3_hun,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_unknown,#indicator+second+lang+pct+none,#indicator+second+lang+pct+iso639-3_ukr,#indicator+second+lang+pct+iso639-3_rus,#indicator+second+lang+pct+iso639-3_bel,#indicator+second+lang+pct+iso639-3_ron,#indicator+second+lang+pct+iso639-3_bul,#indicator+second+lang+pct+iso639-3_deu,#indicator+second+lang+pct+iso639-3_pol,#indicator+second+lang+pct+iso639-3_hun,#indicator+second+lang+pct+iso639-3_eng,#indicator+second+lang+pct+iso639-3_fra,#indicator+second+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Yavoriv raion,804046002,Lvivska oblast,804046,Ukraine,UA,7,Ukrainian,0.998,Ukrainian,0.988,Russian,0.138,0.998,0.148,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.020,0.013,0.001,0.003,0.988,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.813,0.010,0.138,0.000,0.000,0.000,0.003,0.020,0.000,0.013,0.001,0.002,125140,61250,63890,0.996,0.998,0.994,Yes,Medium,
Pustomyty raion,804046003,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.988,Russian,0.120,0.999,0.126,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.021,0.009,0.000,0.006,0.988,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.833,0.011,0.120,0.000,0.000,0.000,0.003,0.021,0.000,0.009,0.000,0.003,111900,52790,59110,0.998,0.999,0.998,Yes,Medium,
Zhovka raion,804046004,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.992,Russian,0.097,0.999,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.016,0.010,0.001,0.001,0.992,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.866,0.008,0.097,0.000,0.000,0.000,0.002,0.016,0.000,0.010,0.001,0.001,109880,53140,56740,0.995,0.996,0.994,Yes,Medium,
Drohobych municipality,804046005,Lvivska oblast,804046,Ukraine,UA,12,Ukrainian,0.996,Ukrainian,0.956,Russian,0.219,0.996,0.255,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.013,0.036,0.031,0.004,0.009,0.956,0.037,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.651,0.040,0.219,0.001,0.000,0.000,0.013,0.036,0.000,0.031,0.004,0.006,99570,48000,51570,0.998,0.999,0.997,Yes,Medium,
Sokal raion,804046006,Lvivska oblast,804046,Ukraine,UA,7,Ukrainian,0.998,Ukrainian,0.990,Russian,0.066,0.998,0.075,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.015,0.010,0.001,0.002,0.990,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.896,0.009,0.066,0.000,0.000,0.000,0.002,0.015,0.000,0.010,0.001,0.002,97430,46050,51380,0.996,0.998,0.995,Yes,Medium,
Mykolaiv raion,804046007,Lvivska oblast,804046,Ukraine,UA,8,Ukrainian,0.998,Ukrainian,0.984,Russian,0.170,0.998,0.184,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.021,0.014,0.001,0.005,0.984,0.014,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.770,0.014,0.170,0.000,0.000,0.000,0.005,0.021,0.001,0.014,0.001,0.004,96450,46010,50440,0.997,0.998,0.997,Yes,Medium,
Chervonohrad municipality,804046008,Lvivska oblast,804046,Ukraine,UA,8,Ukrainian,0.990,Ukrainian,0.940,Russian,0.296,0.990,0.351,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.029,0.018,0.001,0.006,0.940,0.055,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.596,0.050,0.296,0.001,0.000,0.000,0.004,0.029,0.000,0.018,0.001,0.004,87220,41260,45960,0.999,0.999,0.998,Yes,Medium,
Staryi Sambir raion,804046009,Lvivska oblast,804046,Ukraine,UA,5,Ukrainian,0.999,Ukrainian,0.989,Russian,0.091,0.999,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.021,0.004,0.000,0.009,0.989,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.872,0.010,0.091,0.000,0.000,0.000,0.002,0.021,0.000,0.004,0.000,0.001,81050,38470,42580,0.993,0.995,0.991,Yes,Medium,
Zhydachiv raion,804046010,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.995,Russian,0.119,0.999,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.012,0.009,0.001,0.004,0.995,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.849,0.005,0.119,0.000,0.000,0.000,0.003,0.012,0.000,0.009,0.001,0.003,79460,36520,42940,0.997,0.998,0.995,Yes,Medium,
Zolochiv raion,804046011,Lvivska oblast,804046,Ukraine,UA,8,Ukrainian,0.998,Ukrainian,0.989,Russian,0.149,0.998,0.159,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.017,0.005,0.001,0.003,0.989,0.010,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.814,0.009,0.149,0.000,0.000,0.000,0.002,0.017,0.000,0.005,0.001,0.003,76630,35230,41400,0.996,0.998,0.995,Yes,Medium,
