admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+first+lang+main,#indicator+first+lang+main+pct,#indicator+second+lang+main,#indicator+second+lang+main+pct,#indicator+lang+pct+iso639-3_ukr,#indicator+lang+pct+iso639-3_rus,#indicator+lang+pct+iso639-3_bel,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_bul,#indicator+lang+pct+iso639-3_hun,#indicator+lang+pct+iso639-3_azj,#indicator+lang+pct+iso639-3_hyw,#indicator+lang+pct+iso639-3_kat,#indicator+ang+pct+iso639-3_gag,#indicator+lang+pct+iso639-3_crh,#indicator+lang+pct+iso639-3_tat,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_pol,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ukr,#indicator+first+lang+pct+iso639-3_rus,#indicator+first+lang+pct+iso639-3_bel,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_azj,#indicator+first+lang+pct+iso639-3_hyw,#indicator+first+lang+pct+iso639-3_kat,#indicator+first+lang+pct+iso639-3_bul,#indicator+first+ang+pct+iso639-3_gag,#indicator+first+lang+pct+iso639-3_crh,#indicator+first+lang+pct+iso639-3_tat,#indicator+first+lang+pct+iso639-3_hun,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_unknown,#indicator+second+lang+pct+none,#indicator+second+lang+pct+iso639-3_ukr,#indicator+second+lang+pct+iso639-3_rus,#indicator+second+lang+pct+iso639-3_bel,#indicator+second+lang+pct+iso639-3_ron,#indicator+second+lang+pct+iso639-3_bul,#indicator+second+lang+pct+iso639-3_deu,#indicator+second+lang+pct+iso639-3_pol,#indicator+second+lang+pct+iso639-3_hun,#indicator+second+lang+pct+iso639-3_eng,#indicator+second+lang+pct+iso639-3_fra,#indicator+second+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Simferopol municipality,804001001,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.964,Russian,0.854,Ukrainian,0.286,0.350,0.964,0.003,0.001,0.002,0.000,0.002,0.003,0.001,0.000,0.065,0.002,0.000,0.010,0.001,0.053,0.003,0.018,0.064,0.854,0.001,0.000,0.002,0.003,0.001,0.000,0.000,0.065,0.002,0.000,0.000,0.007,0.524,0.286,0.110,0.002,0.000,0.000,0.010,0.001,0.000,0.053,0.003,0.011,367490,163750,203740,0.999,0.999,0.999,Yes,Medium,
Kerch city,804001002,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.975,Russian,0.930,Ukrainian,0.251,0.306,0.975,0.004,0.001,0.002,0.000,0.001,0.001,0.001,0.000,0.007,0.001,0.000,0.006,0.001,0.030,0.001,0.007,0.054,0.930,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.007,0.001,0.000,0.000,0.001,0.658,0.251,0.045,0.002,0.001,0.000,0.006,0.001,0.000,0.030,0.001,0.005,159650,72360,87290,0.997,0.997,0.996,Yes,Medium,
Simferopol raion,804001003,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.942,Russian,0.677,Russian,0.265,0.356,0.942,0.004,0.001,0.001,0.000,0.000,0.003,0.000,0.000,0.215,0.003,0.000,0.002,0.001,0.007,0.000,0.016,0.095,0.677,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.215,0.003,0.000,0.000,0.004,0.450,0.261,0.265,0.001,0.000,0.000,0.002,0.001,0.000,0.007,0.000,0.013,150400,71340,79060,0.998,0.998,0.998,Yes,Medium,
Yalta municipality,804001004,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.960,Russian,0.867,Ukrainian,0.296,0.405,0.960,0.005,0.002,0.003,0.000,0.001,0.002,0.002,0.000,0.013,0.001,0.000,0.011,0.002,0.050,0.002,0.011,0.109,0.867,0.002,0.000,0.001,0.002,0.002,0.000,0.000,0.013,0.001,0.000,0.000,0.003,0.532,0.296,0.093,0.003,0.001,0.001,0.011,0.002,0.000,0.050,0.002,0.008,147540,66790,80750,0.999,1.000,0.999,Yes,Medium,
Yevpatoria municipality,804001005,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.955,Russian,0.840,Ukrainian,0.300,0.390,0.955,0.004,0.001,0.003,0.000,0.002,0.003,0.000,0.000,0.059,0.001,0.000,0.010,0.001,0.034,0.001,0.012,0.091,0.840,0.002,0.000,0.002,0.003,0.000,0.000,0.000,0.059,0.001,0.000,0.000,0.003,0.526,0.300,0.115,0.002,0.001,0.000,0.010,0.001,0.000,0.034,0.001,0.009,121970,54660,67310,0.999,0.999,0.999,Yes,Medium,
Feodosiya municipality,804001006,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.959,Russian,0.874,Ukrainian,0.277,0.349,0.959,0.006,0.001,0.003,0.000,0.001,0.002,0.000,0.000,0.043,0.001,0.000,0.006,0.001,0.035,0.003,0.010,0.072,0.874,0.003,0.001,0.001,0.002,0.000,0.000,0.000,0.043,0.001,0.000,0.000,0.003,0.582,0.277,0.085,0.003,0.001,0.000,0.006,0.001,0.000,0.035,0.003,0.007,109660,49810,59850,0.998,0.999,0.997,Yes,Medium,
Krasnohvardiiske raion,804001007,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.937,Russian,0.701,Ukrainian,0.256,0.375,0.937,0.005,0.001,0.002,0.000,0.000,0.001,0.001,0.000,0.157,0.009,0.002,0.002,0.001,0.005,0.000,0.017,0.119,0.701,0.003,0.001,0.000,0.001,0.001,0.000,0.000,0.157,0.009,0.000,0.002,0.005,0.486,0.256,0.236,0.002,0.000,0.000,0.002,0.001,0.000,0.005,0.000,0.012,95090,44480,50610,0.998,0.999,0.997,Yes,Medium,
Bakhchysaray raion,804001008,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.949,Russian,0.680,Russian,0.268,0.337,0.949,0.004,0.001,0.002,0.000,0.002,0.001,0.000,0.000,0.205,0.017,0.000,0.004,0.001,0.011,0.001,0.016,0.087,0.680,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.205,0.017,0.000,0.000,0.004,0.451,0.250,0.268,0.002,0.000,0.000,0.004,0.001,0.000,0.011,0.001,0.012,93420,43570,49850,0.991,0.995,0.987,Yes,Medium,
Dzhankoy raion,804001009,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.940,Russian,0.614,Russian,0.325,0.442,0.940,0.005,0.001,0.003,0.000,0.001,0.000,0.000,0.000,0.210,0.003,0.001,0.003,0.000,0.003,0.000,0.027,0.158,0.614,0.003,0.000,0.001,0.000,0.000,0.001,0.000,0.210,0.003,0.000,0.001,0.009,0.364,0.284,0.325,0.002,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.018,83250,39150,44100,0.993,0.996,0.990,Yes,Medium,
Saky raion,804001010,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.949,Russian,0.636,Russian,0.313,0.425,0.949,0.010,0.001,0.003,0.000,0.000,0.003,0.000,0.000,0.168,0.006,0.002,0.002,0.000,0.008,0.000,0.015,0.171,0.636,0.007,0.001,0.000,0.003,0.000,0.000,0.000,0.168,0.006,0.000,0.002,0.005,0.409,0.253,0.313,0.003,0.001,0.000,0.002,0.000,0.000,0.008,0.000,0.010,80880,38190,42690,0.996,0.999,0.994,Yes,Medium,
Lenine raion,804001011,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.941,Russian,0.727,Ukrainian,0.275,0.381,0.941,0.005,0.001,0.002,0.000,0.000,0.002,0.000,0.001,0.151,0.004,0.000,0.003,0.000,0.008,0.000,0.014,0.106,0.727,0.003,0.000,0.000,0.002,0.000,0.000,0.001,0.151,0.004,0.000,0.000,0.004,0.487,0.275,0.214,0.001,0.000,0.000,0.003,0.000,0.000,0.008,0.000,0.011,70120,32820,37300,0.994,0.995,0.993,Yes,Medium,
Bilohirsk raion,804001012,The Autonomous Republic of Crimea,804001,Ukraine,UA,12,Russian,0.933,Russian,0.613,Russian,0.320,0.321,0.933,0.004,0.001,0.001,0.000,0.001,0.002,0.000,0.000,0.287,0.007,0.000,0.002,0.001,0.006,0.000,0.018,0.078,0.613,0.003,0.001,0.001,0.002,0.000,0.000,0.000,0.287,0.007,0.000,0.000,0.008,0.416,0.244,0.320,0.001,0.000,0.000,0.002,0.001,0.000,0.006,0.000,0.010,67070,32120,34950,0.991,0.993,0.990,Yes,Medium,
Kirovske raion,804001013,The Autonomous Republic of Crimea,804001,Ukraine,UA,12,Russian,0.950,Russian,0.654,Russian,0.296,0.297,0.950,0.005,0.002,0.002,0.000,0.002,0.002,0.000,0.000,0.231,0.013,0.001,0.002,0.000,0.005,0.000,0.025,0.085,0.654,0.004,0.001,0.002,0.002,0.000,0.000,0.000,0.231,0.013,0.000,0.001,0.008,0.464,0.213,0.296,0.002,0.001,0.001,0.002,0.000,0.000,0.005,0.000,0.018,58650,27740,30910,0.994,0.998,0.991,Yes,Medium,
Nyzhnohirskyi raion,804001014,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.953,Russian,0.720,Ukrainian,0.372,0.481,0.953,0.006,0.001,0.002,0.000,0.003,0.001,0.000,0.000,0.154,0.003,0.000,0.001,0.000,0.005,0.000,0.017,0.109,0.720,0.003,0.001,0.003,0.001,0.000,0.000,0.000,0.154,0.003,0.000,0.000,0.007,0.376,0.372,0.233,0.002,0.001,0.000,0.001,0.000,0.000,0.005,0.000,0.009,57970,27250,30720,0.998,0.998,0.998,Yes,Medium,
Alushta municipality,804001015,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.945,Russian,0.826,Ukrainian,0.327,0.429,0.945,0.005,0.001,0.003,0.000,0.001,0.002,0.001,0.000,0.061,0.001,0.000,0.007,0.001,0.024,0.002,0.010,0.102,0.826,0.002,0.001,0.001,0.002,0.001,0.000,0.000,0.061,0.001,0.000,0.000,0.004,0.509,0.327,0.119,0.003,0.000,0.001,0.007,0.001,0.000,0.024,0.002,0.007,54920,25220,29700,0.996,0.999,0.994,Yes,Medium,
Dzhankoy city,804001016,The Autonomous Republic of Crimea,804001,Ukraine,UA,10,Russian,0.959,Russian,0.828,Ukrainian,0.302,0.386,0.959,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.070,0.002,0.009,0.005,0.000,0.012,0.000,0.012,0.084,0.828,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.070,0.002,0.000,0.009,0.003,0.538,0.302,0.131,0.001,0.000,0.000,0.005,0.000,0.000,0.012,0.000,0.010,44050,19940,24110,0.995,0.997,0.994,Yes,Medium,
Pervomaiske raion,804001017,The Autonomous Republic of Crimea,804001,Ukraine,UA,12,Russian,0.916,Russian,0.571,Russian,0.345,0.539,0.916,0.006,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.203,0.015,0.000,0.001,0.001,0.004,0.001,0.020,0.198,0.571,0.006,0.001,0.000,0.001,0.000,0.000,0.000,0.203,0.015,0.000,0.000,0.005,0.293,0.341,0.345,0.001,0.000,0.000,0.001,0.001,0.000,0.004,0.001,0.015,39970,18930,21040,0.988,0.991,0.985,Yes,Medium,
Sovietskyi raion,804001018,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.946,Russian,0.632,Russian,0.315,0.404,0.946,0.004,0.002,0.002,0.000,0.000,0.002,0.000,0.000,0.215,0.025,0.003,0.003,0.001,0.006,0.001,0.027,0.109,0.632,0.003,0.001,0.000,0.002,0.000,0.001,0.000,0.215,0.025,0.000,0.003,0.011,0.360,0.295,0.315,0.001,0.001,0.001,0.003,0.001,0.000,0.006,0.001,0.017,38650,18860,19790,0.994,0.994,0.994,Yes,Medium,
Rozdolne raion,804001019,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.947,Russian,0.637,Russian,0.310,0.476,0.947,0.006,0.001,0.002,0.000,0.001,0.003,0.000,0.000,0.138,0.008,0.000,0.000,0.001,0.003,0.000,0.012,0.204,0.637,0.004,0.000,0.001,0.003,0.000,0.000,0.000,0.138,0.008,0.000,0.000,0.005,0.405,0.272,0.310,0.002,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.007,37750,17770,19980,0.987,0.990,0.985,Yes,Medium,
Chornomorske raion,804001020,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.933,Russian,0.710,Ukrainian,0.340,0.482,0.933,0.005,0.000,0.003,0.000,0.000,0.001,0.001,0.000,0.123,0.019,0.000,0.003,0.001,0.007,0.000,0.014,0.142,0.710,0.002,0.000,0.000,0.001,0.001,0.000,0.000,0.123,0.019,0.000,0.000,0.001,0.410,0.340,0.223,0.003,0.000,0.001,0.003,0.001,0.000,0.007,0.000,0.013,35460,16440,19020,0.999,1.000,0.997,Yes,Medium,
Krasnoperekopsk raion,804001021,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.925,Russian,0.555,Russian,0.370,0.587,0.925,0.002,0.002,0.002,0.000,0.000,0.001,0.000,0.000,0.169,0.011,0.008,0.001,0.000,0.002,0.000,0.014,0.247,0.555,0.002,0.002,0.000,0.001,0.000,0.001,0.000,0.169,0.011,0.000,0.008,0.003,0.274,0.340,0.370,0.000,0.001,0.000,0.001,0.000,0.000,0.002,0.000,0.011,32770,15810,16960,0.990,0.994,0.986,Yes,Medium,
Krasnoperekopsk city,804001022,The Autonomous Republic of Crimea,804001,Ukraine,UA,9,Russian,0.951,Russian,0.792,Ukrainian,0.450,0.616,0.951,0.004,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.033,0.003,0.000,0.002,0.000,0.008,0.000,0.010,0.166,0.792,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.033,0.003,0.000,0.000,0.003,0.371,0.450,0.159,0.002,0.000,0.000,0.002,0.000,0.000,0.008,0.000,0.007,31340,14590,16750,0.995,0.998,0.993,Yes,Medium,
Sudak municipality,804001023,The Autonomous Republic of Crimea,804001,Ukraine,UA,12,Russian,0.940,Russian,0.696,Russian,0.244,0.329,0.940,0.006,0.001,0.003,0.000,0.000,0.001,0.001,0.000,0.180,0.013,0.000,0.006,0.000,0.021,0.001,0.023,0.090,0.696,0.004,0.001,0.000,0.001,0.001,0.001,0.000,0.180,0.013,0.000,0.000,0.013,0.479,0.239,0.244,0.002,0.000,0.000,0.006,0.000,0.000,0.021,0.001,0.010,30580,14480,16100,0.992,0.996,0.989,Yes,Medium,
Saky city,804001024,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.973,Russian,0.838,Ukrainian,0.325,0.423,0.973,0.007,0.001,0.003,0.002,0.000,0.002,0.001,0.000,0.049,0.003,0.001,0.013,0.001,0.029,0.000,0.013,0.098,0.838,0.004,0.001,0.000,0.002,0.001,0.000,0.000,0.049,0.003,0.000,0.001,0.003,0.480,0.325,0.135,0.003,0.001,0.001,0.013,0.001,0.002,0.029,0.000,0.010,29790,13180,16610,0.996,0.998,0.994,Yes,Medium,
Armyansk municipality,804001025,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.929,Russian,0.793,Ukrainian,0.370,0.538,0.929,0.003,0.001,0.001,0.000,0.002,0.000,0.001,0.000,0.023,0.000,0.000,0.006,0.000,0.010,0.001,0.017,0.169,0.793,0.001,0.001,0.002,0.000,0.001,0.000,0.000,0.023,0.000,0.000,0.000,0.009,0.466,0.370,0.136,0.001,0.000,0.000,0.006,0.000,0.000,0.010,0.001,0.008,26690,12250,14440,1.000,1.000,0.999,Yes,Medium,
Vinnitsia city,804005001,Vinnytska oblast,804005,Ukraine,UA,9,Ukrainian,0.970,Ukrainian,0.850,Russian,0.546,0.970,0.691,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.002,0.018,0.000,0.007,0.850,0.144,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.304,0.119,0.546,0.000,0.001,0.000,0.004,0.002,0.000,0.018,0.000,0.004,363790,170390,193400,0.998,0.999,0.997,Yes,Medium,
Vinnitsia raion,804005002,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.994,Ukrainian,0.979,Russian,0.413,0.994,0.431,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.001,0.979,0.018,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.014,0.413,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.001,74710,34520,40190,0.989,0.995,0.984,Yes,Medium,
Bershad raion,804005003,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.996,Ukrainian,0.973,Russian,0.446,0.996,0.470,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.002,0.973,0.024,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.529,0.022,0.446,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.001,72180,32740,39440,0.991,0.997,0.986,Yes,Medium,
Sharhorod raion,804005004,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.998,Ukrainian,0.990,Russian,0.329,0.998,0.336,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.000,0.001,0.990,0.008,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.658,0.008,0.329,0.000,0.000,0.000,0.001,0.003,0.000,0.001,0.000,0.000,65420,30260,35160,0.987,0.994,0.982,Yes,Medium,
Kalynivka raion,804005005,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.993,Ukrainian,0.977,Russian,0.356,0.993,0.377,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.002,0.977,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.624,0.016,0.356,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,65310,30020,35290,0.982,0.992,0.974,Yes,Medium,
Haisyn raion,804005006,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.988,Ukrainian,0.958,Russian,0.390,0.988,0.430,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.001,0.958,0.040,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.574,0.030,0.390,0.001,0.000,0.000,0.002,0.000,0.000,0.003,0.000,0.001,65090,30000,35090,0.990,0.996,0.984,Yes,Medium,
Tulchyn raion,804005007,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.994,Ukrainian,0.968,Russian,0.405,0.994,0.432,0.001,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.968,0.027,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.564,0.026,0.405,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,64880,29540,35340,0.994,0.997,0.992,Yes,Medium,
Bar raion,804005008,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.994,Ukrainian,0.972,Russian,0.400,0.994,0.425,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.002,0.972,0.025,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.572,0.023,0.400,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,63350,28880,34470,0.994,0.998,0.990,Yes,Medium,
Nemyriv raion,804005009,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.995,Ukrainian,0.974,Russian,0.383,0.995,0.405,0.001,0.004,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.974,0.022,0.001,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.590,0.021,0.383,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.001,61090,27780,33310,0.992,0.994,0.989,Yes,Medium,
Koziatyn raion,804005010,Vinnytska oblast,804005,Ukraine,UA,7,Ukrainian,0.996,Ukrainian,0.983,Russian,0.324,0.996,0.338,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.005,0.983,0.014,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.655,0.013,0.324,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.004,48890,21980,26910,0.996,0.998,0.994,Yes,Medium,
Tyvriv raion,804005011,Vinnytska oblast,804005,Ukraine,UA,11,Ukrainian,0.991,Ukrainian,0.961,Russian,0.384,0.991,0.416,0.001,0.002,0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.003,0.961,0.032,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.577,0.031,0.384,0.001,0.000,0.000,0.001,0.002,0.000,0.002,0.000,0.001,48460,22110,26350,0.988,0.994,0.983,Yes,Medium,
Yampil raion,804005012,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.997,Ukrainian,0.976,Russian,0.461,0.997,0.477,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.002,0.976,0.016,0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.514,0.021,0.461,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,48110,21990,26120,0.998,0.999,0.998,Yes,Medium,
Lypovets raion,804005013,Vinnytska oblast,804005,Ukraine,UA,5,Ukrainian,0.998,Ukrainian,0.992,Russian,0.509,0.998,0.515,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.992,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.482,0.006,0.509,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,44410,20240,24170,0.994,0.997,0.990,Yes,Medium,
Zhmerynka raion,804005014,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.992,Ukrainian,0.972,Russian,0.337,0.992,0.362,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.972,0.025,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.638,0.020,0.337,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,43970,19640,24330,0.984,0.992,0.977,Yes,Medium,
Khmilnyk raion,804005015,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.997,Ukrainian,0.991,Russian,0.278,0.997,0.284,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.991,0.006,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.006,0.278,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,43250,18770,24480,0.984,0.993,0.977,Yes,Medium,
Trostianets raion,804005016,Vinnytska oblast,804005,Ukraine,UA,4,Ukrainian,0.994,Ukrainian,0.982,Russian,0.425,0.994,0.441,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.982,0.016,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.560,0.011,0.425,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,42670,19880,22790,0.989,0.997,0.982,Yes,Medium,
Illintsi raion,804005017,Vinnytska oblast,804005,Ukraine,UA,6,Ukrainian,0.994,Ukrainian,0.978,Russian,0.409,0.994,0.423,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.002,0.000,0.002,0.978,0.015,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.571,0.017,0.409,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,42370,19500,22870,0.993,0.996,0.990,Yes,Medium,
Lityn raion,804005018,Vinnytska oblast,804005,Ukraine,UA,3,Ukrainian,0.998,Ukrainian,0.987,Russian,0.287,0.998,0.298,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.987,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.011,0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42070,18820,23250,0.989,0.993,0.986,Yes,Medium,
Tomashpil raion,804005019,Vinnytska oblast,804005,Ukraine,UA,4,Ukrainian,0.993,Ukrainian,0.967,Russian,0.413,0.993,0.440,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.967,0.027,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.557,0.026,0.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,41510,19080,22430,0.983,0.990,0.977,Yes,Medium,
Kryzhopil raion,804005020,Vinnytska oblast,804005,Ukraine,UA,3,Ukrainian,0.996,Ukrainian,0.988,Russian,0.414,0.996,0.422,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.988,0.008,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.576,0.008,0.414,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41420,18640,22780,0.998,0.998,0.999,Yes,Medium,
